Date,Close
11/30/2017,41.83
12/1/2017,44.22
12/4/2017,43.21
12/5/2017,42.15
12/6/2017,40.57
12/7/2017,40.63
12/8/2017,40.7
12/11/2017,40.19
12/12/2017,39.72
12/13/2017,39.8
12/14/2017,39.42
12/15/2017,39.47
12/18/2017,39.92
12/19/2017,40.25
12/20/2017,41.26
12/21/2017,43.31
12/22/2017,42.91
12/26/2017,43.36
12/27/2017,42.89
12/28/2017,42.87
12/29/2017,42.22
1/2/2018,44.3
1/3/2018,45.33
1/4/2018,46.84
1/5/2018,46.39
1/8/2018,45.92
1/9/2018,44.55
1/10/2018,43.99
1/11/2018,46
1/12/2018,47.16
1/16/2018,46.27
1/17/2018,46.53
1/18/2018,46.7
1/19/2018,46.05
1/22/2018,47.66
1/23/2018,47.77
1/24/2018,48.12
1/25/2018,47.45
1/26/2018,48.08
1/29/2018,46.65
1/30/2018,44.57
1/31/2018,44.87
2/1/2018,44.69
2/2/2018,42.82
2/5/2018,40.93
2/6/2018,41.12
2/7/2018,39.55
2/8/2018,37.73
2/9/2018,37.23
2/12/2018,38.11
2/13/2018,37.7
2/14/2018,38.2
2/15/2018,38.1
2/16/2018,38.11
2/20/2018,38.3
2/21/2018,37.2
2/22/2018,34.85
2/23/2018,36.13
2/26/2018,35.98
2/27/2018,34.8
2/28/2018,34.15
3/1/2018,34.27
3/2/2018,34.78
3/5/2018,35.21
3/6/2018,35.36
3/7/2018,34.65
3/8/2018,34.97
3/9/2018,35.32
3/12/2018,35.41
3/13/2018,35.46
3/14/2018,35.65
3/15/2018,35.34
3/16/2018,36.14
3/19/2018,35.57
3/20/2018,36.27
3/21/2018,38.1
3/22/2018,37.28
3/23/2018,37.01
3/26/2018,37.28
3/27/2018,37.48
3/28/2018,37.35
3/29/2018,38.48
4/2/2018,37.9
4/3/2018,38
4/4/2018,38.19
4/5/2018,38.75
4/6/2018,38.34
4/9/2018,38.45
4/10/2018,39.28
4/11/2018,39.64
4/12/2018,39.38
4/13/2018,40.62
4/16/2018,40.79
4/17/2018,41.35
4/18/2018,42.84
4/19/2018,42.03
4/20/2018,41.45
4/23/2018,41.53
4/24/2018,40.64
4/25/2018,41
4/26/2018,40.88
4/27/2018,40.18
4/30/2018,40.95
5/1/2018,40.45
5/2/2018,41.06
5/3/2018,38.54
5/4/2018,39.49
5/7/2018,39.47
5/8/2018,40.12
5/9/2018,41.25
5/10/2018,41.64
5/11/2018,41.41
5/14/2018,42.31
5/15/2018,42.52
5/16/2018,42.66
5/17/2018,44.01
5/18/2018,43.91
5/21/2018,44.28
5/22/2018,43.13
5/23/2018,42.57
5/24/2018,41.26
